,0,1,2,3,4,Clinda1,Clinda2,Clinda3,Clinda4,Clinda5,Clinda6,Clinda8,Levo1,Levo2,Levo3,Levo4,Levo5,Levo6,Levo7,Levo8,NoAbx1,NoAbx2,NoAbx3,NoAbx4,NoAbx5,NoAbx6,NoAbx7,NoAbx8,Piptazo1,Piptazo2,Piptazo3,Piptazo4,Piptazo5,Piptazo6,Piptazo7,Piptazo8,PTClinda1,PTClinda2,PTClinda3,PTClinda4,PTClinda5,PTClinda6,PTClinda7,PTClinda8
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__[Eubacterium]_coprostanoligenes_group,0,0,0,0,0,0,0.000380325,0.005943102,0.017857143,0.00249066,0.00543556,0.032843362,0,0.000795545,0.01988117,0.003879386,0,0,0.000375545,0.000707178,0,0,0.002438033,0,0,0.000210739,0,0.001730104,0,0.00126271,0,0,0.001086432,0.00192895,0.001103097,0.0003263,0,0,0.006415995
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004672897,0.005031447,0.011797397,0.004882079,0.004394605,0.006928406,0,0.006501422,0,0,0,0,0.00047727,0,0,0,0,0.000603573,0,0,0,0,0,0.000298418
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae,d__Bacteria,p__Firmicutes,c__Bacilli,o__Staphylococcales,f__Staphylococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002274882,0,0,0,0.097243766,0.001852853,0.014953147,0.004147597,0,0.014063254,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013789968,0.009237875,0,0.04733848,0,0,0,0,0.001193175,0,0.000332292,0,0.000501857,0.013620634,0.002893425,0,0.000978899,0,0.000515236,0.002536556
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,0,0,0,0,0,0,0,0.019095869,0.046548957,0.018929016,0.05836075,0.053054662,0.038206683,0.070962609,0.041361974,0.020014107,0.035534591,0.029664115,0.066095839,0.050361166,0.031177829,0.050420168,0.02173913,0.00056872,0.00064914,0.000168591,0,0.003042596,0.000154404,0.000930418,0,0,0.001227265,0.003536409,0,0.0003263,0.000253775,0,0.006714414
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__RF39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000132917,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000642983,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.001691809,0,0.000228519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,0,0,0,0,0,0,0.000760649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072606635,0.098182408,0.000505774,0.004180352,0.021835103,0,0,0,0,0,0,0,0.0003263,0,0,0.000596837
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43E-05,0,0.000119318,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006445498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Mitochondria,0,0,0,0,0,0,0,0,0,0,0,0.001837391,0,0,0,0,0,0,0,0,0,0,0,0.014407583,0,0,0,0,0,0.003256463,0,0.003613369,0.001066313,0.007715801,0,0.007396128,0.001649537,0.005446783,0.028946583
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126444,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04E-05,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035702694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,0.644262295,0.401174363,0.366314692,0.41138642,0.357843137,0.523255814,0.402383367,0,0,0,0,0,0,0,0.01416819,0.000352671,0.011006289,0.005264954,0.000976416,0.001060767,0,0,0.01828525,0.196208531,0.00227199,0.001854506,0,0.189177902,0.00494094,0.039144015,0.049771167,0.09936766,0.43413005,0.561646038,0.036062792,0.08124864,0.020048217,0.043942294,0.176514473
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Sutterellaceae,0.027868852,0.018013535,0.024638248,0.035748061,0.017320261,0.030191758,0.04158215,0,0,0,0,0,0,0,0,0,0.007232704,0.002510603,0.003304792,0,0,0,0,0.016682464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000447628
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02E-05,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044262,0,0,0,0,0,0
